user_id,full_name,email,signup_date,country,acquisition_channel,subscription_tier,status
33,Steve Sanchez,harveyrobert@example.net,2024-06-05,Germany,Paid Ads,Basic,Active
34,Taylor Harris,john62@example.net,2024-08-07,Canada,Paid Ads,Pro,Active
35,Eugene Walton,smithchristine@example.net,2024-09-07,United Kingdom,Organic Search,Basic,Active
36,Daniel Baker,nicole35@example.com,2024-02-08,Canada,Organic Search,Basic,Active
37,Joshua Turner,contrerasangela@example.net,2024-03-02,Germany,Social Media,Basic,Active
38,Brandy Wilson,newtoneric@example.com,2024-02-10,Germany,Organic Search,Basic,Active
39,Grant Watts,william40@example.org,2024-08-22,United States,Paid Ads,Pro,Active
40,Donald Smith,danagreen@example.net,2024-09-03,United Kingdom,Referral,Pro,Active
41,Jessica Smith,landryhannah@example.org,2024-06-20,Germany,Referral,Basic,Active
42,Jacob Tran,tanderson@example.com,2024-07-30,Canada,Referral,Basic,Active
43,Valerie Williams,jason31@example.com,2024-12-15,Canada,Social Media,Basic,Active
44,Shelly Dickson,sarayoung@example.org,2024-10-29,Canada,Paid Ads,Basic,Active
45,Sierra Johnson,kimberly63@example.com,2024-11-06,Australia,Organic Search,Basic,Churned
46,Ashley Brennan,dwalker@example.com,2024-03-02,Germany,Referral,Basic,Active
47,Shelby Walker,raymondramirez@example.org,2024-04-28,Australia,Organic Search,Basic,Active
48,Martin Ross,sheila14@example.org,2024-10-27,Australia,Referral,Pro,Active
49,Deborah Rodriguez,yreed@example.com,2024-08-13,Canada,Organic Search,Pro,Active
50,Kayla Cruz,jonathanfletcher@example.org,2024-06-18,Canada,Organic Search,Basic,Active
51,Kimberly Ball,michaeljones@example.net,2024-07-20,Australia,Organic Search,Basic,Churned
52,Erik Charles,william65@example.com,2024-12-23,Canada,Referral,Pro,Active
53,Cameron Fisher,lbyrd@example.net,2024-09-27,Canada,Social Media,Basic,Active
54,Joshua Smith,jason99@example.net,2024-08-09,Canada,Paid Ads,Pro,Active
55,Jeremy Lewis,yleon@example.net,2024-05-05,Australia,Referral,Pro,Churned
56,Diane Beck,clarence34@example.org,2024-03-06,United States,Referral,Enterprise,Active
57,Alexander Sanchez,xcarr@example.org,2024-11-09,Australia,Organic Search,Pro,Active
58,Mark Lee,psnyder@example.org,2024-06-25,Germany,Social Media,Basic,Active
59,Stephanie Dalton,osbornejeffery@example.net,2024-09-11,United States,Partner Program,Basic,Active
60,Justin Lowery,bryantlaurie@example.net,2024-07-20,United Kingdom,Organic Search,Basic,Active
61,Linda Dodson DVM,jrivas@example.com,2024-07-25,Germany,Organic Search,Enterprise,Active
62,Scott Cole,maryramirez@example.net,2024-12-14,United States,Organic Search,Basic,Churned
63,Denise Jones,jimmy55@example.net,2024-07-07,Australia,Organic Search,Pro,Active
64,David Benson,calebrussell@example.net,2024-02-01,Germany,Organic Search,Basic,Active
65,Daniel Fisher,gateskathy@example.com,2024-06-29,Germany,Referral,Enterprise,Active
66,Guy Molina,vmedina@example.net,2024-07-04,United Kingdom,Organic Search,Basic,Active
67,Connie Robinson,ytucker@example.com,2024-11-06,United Kingdom,Referral,Enterprise,Churned
68,Jennifer Martin,ncalhoun@example.net,2024-09-16,Canada,Referral,Enterprise,Churned
69,Leslie Alvarado,dayderek@example.com,2024-01-11,Canada,Referral,Basic,Active
70,James Lewis,matthew64@example.com,2024-03-11,United Kingdom,Paid Ads,Pro,Active
71,Julie Curry,cookemichael@example.net,2024-04-07,United States,Referral,Basic,Active
72,Marissa Webster,jamessmith@example.org,2024-01-27,Germany,Organic Search,Pro,Active
73,Michael Elliott,stevenscott@example.com,2024-04-02,Canada,Paid Ads,Basic,Active
74,Tracey Higgins,tamirodriguez@example.org,2024-03-06,Canada,Social Media,Basic,Active
75,Michael Rubio,mdavid@example.org,2024-12-26,United States,Social Media,Basic,Active
76,Lori Garcia,melissa91@example.net,2024-08-17,United Kingdom,Referral,Basic,Churned
77,Joseph Stanley,huntermatthew@example.com,2024-10-30,Canada,Organic Search,Basic,Active
78,Jeffrey Cox PhD,bzimmerman@example.org,2024-11-15,Canada,Organic Search,Basic,Churned
79,Marie Gilbert,umarshall@example.net,2024-10-11,United States,Social Media,Basic,Active
80,David Michael,nicole37@example.net,2024-04-14,Canada,Organic Search,Enterprise,Active
81,Gabrielle Snyder,hunter35@example.com,2024-08-25,United States,Referral,Pro,Active
82,Kyle Beard,blackjames@example.org,2024-05-12,United States,Referral,Basic,Active
83,Justin Allen,fbrewer@example.com,2024-10-06,Canada,Paid Ads,Basic,Active
84,Edward Sullivan,kevinperkins@example.com,2024-11-03,Canada,Referral,Basic,Churned
85,Jessica Reese,michael74@example.com,2024-08-02,Germany,Social Media,Enterprise,Active
86,Nathan Stewart,jamesrodgers@example.com,2024-04-07,United States,Partner Program,Pro,Churned
87,Paige Carlson,wallkenneth@example.com,2024-10-08,Canada,Organic Search,Enterprise,Active
88,Michael Martinez,mccannangela@example.net,2024-03-10,Australia,Paid Ads,Pro,Active
89,Nicole Garcia,andrewstaylor@example.com,2024-02-19,United Kingdom,Organic Search,Pro,Active
90,Anthony Everett,ewilson@example.com,2024-05-12,Canada,Paid Ads,Basic,Active
91,Mark Brown,lisaavery@example.org,2024-07-09,Australia,Organic Search,Pro,Churned
92,Phillip Obrien,kimberlyjames@example.com,2024-04-06,United States,Organic Search,Basic,Active
93,Wanda Torres,lynchjody@example.org,2024-04-25,Canada,Partner Program,Basic,Active
94,Matthew Moore,andreamoore@example.com,2024-08-30,Australia,Social Media,Pro,Active
95,Julie Johnson,jasmine71@example.net,2024-06-23,Canada,Organic Search,Enterprise,Active
96,Rachel Weber,ronaldstephens@example.net,2024-03-31,United Kingdom,Organic Search,Basic,Active
97,Samantha Jones,lauralarson@example.net,2024-02-27,United Kingdom,Referral,Enterprise,Active
98,Caleb Barker,gbender@example.net,2024-12-23,Germany,Organic Search,Basic,Active
99,Kyle Preston,cassandra01@example.org,2024-07-10,Germany,Paid Ads,Basic,Active
100,Laura Sampson,barbara27@example.net,2024-09-18,United States,Referral,Basic,Active
101,Donald Shea,fwalters@example.org,2024-09-10,United Kingdom,Social Media,Pro,Active
102,Gary Santiago,marksteele@example.com,2024-07-01,United Kingdom,Referral,Pro,Active
103,Robin Pierce,qmiller@example.com,2024-09-14,United Kingdom,Referral,Basic,Active
104,Jennifer Robertson,sandovalamy@example.com,2024-02-15,Australia,Social Media,Enterprise,Active
105,Isaiah Avila,nwolf@example.com,2024-01-22,United Kingdom,Referral,Pro,Active
106,Dwayne Gilmore,omartinez@example.net,2024-08-01,United States,Referral,Basic,Active
107,Christopher Pierce,hdavis@example.com,2024-11-06,Australia,Referral,Pro,Active
108,Brittany Cantu,william46@example.com,2024-02-15,United States,Social Media,Basic,Active
109,Juan Reyes,michellehill@example.com,2024-07-02,Germany,Organic Search,Pro,Active
110,Katie Hoover,jessica99@example.net,2024-05-11,United Kingdom,Organic Search,Basic,Active
111,Jill Washington,andrea86@example.com,2024-07-09,United States,Partner Program,Pro,Active
112,Colin Terry,xhall@example.com,2024-12-28,Australia,Referral,Pro,Active
113,John Mcintyre,qhughes@example.net,2024-01-17,Australia,Referral,Basic,Active
114,Andrew Shaw MD,sawyerscott@example.net,2024-02-29,Canada,Paid Ads,Pro,Churned
115,Nathan Ortiz,charlesharrington@example.com,2024-12-19,Australia,Organic Search,Pro,Active
116,Jennifer Miller,melissa86@example.com,2024-05-11,Australia,Organic Search,Basic,Active
117,Olivia Brennan,williamsonjimmy@example.net,2024-08-31,Australia,Organic Search,Basic,Active
118,Darren Davis,hodgesjane@example.org,2024-12-23,Germany,Referral,Enterprise,Churned
119,Elijah Johnson,laura45@example.com,2024-06-21,Germany,Paid Ads,Pro,Active
120,Joseph Knight,georgemiller@example.com,2024-06-16,Germany,Referral,Basic,Churned
121,Kathleen Aguilar,stevenking@example.com,2024-08-28,Australia,Organic Search,Basic,Active
122,Robert Santana,charleslandry@example.net,2024-09-15,Germany,Referral,Basic,Active
123,Jessica Wright,james67@example.org,2024-04-26,United Kingdom,Organic Search,Basic,Churned
124,Ian Phillips,andrew64@example.org,2024-04-02,Canada,Organic Search,Basic,Active
125,Paula Beltran,swall@example.org,2024-08-07,United States,Organic Search,Basic,Active
126,Colleen Lee,erica21@example.net,2024-08-23,Australia,Organic Search,Pro,Active
127,Richard Johnson,jessica14@example.com,2024-09-08,Germany,Paid Ads,Basic,Churned
128,Curtis Buchanan,alyssa42@example.com,2024-10-17,Germany,Referral,Basic,Active
129,Karen Drake,linda71@example.org,2024-12-20,Australia,Paid Ads,Enterprise,Active
130,Shannon Ramsey,zcoffey@example.net,2024-10-19,Germany,Social Media,Pro,Active
131,James Baker,gibsonemily@example.net,2024-05-22,United Kingdom,Referral,Basic,Active
132,Samantha Bentley,leonardthomas@example.net,2024-04-11,Australia,Social Media,Pro,Churned
133,Erin Bishop,reidsteven@example.net,2024-12-09,Germany,Referral,Enterprise,Active
134,Audrey Williams,torrestravis@example.org,2024-04-27,Canada,Organic Search,Basic,Churned
135,Brandy Chavez,umatthews@example.org,2024-04-01,United States,Organic Search,Basic,Active
136,Brett Burns,rcrosby@example.org,2024-12-09,United Kingdom,Organic Search,Pro,Active
137,Jeremy Sampson,cory58@example.net,2024-09-25,Australia,Organic Search,Basic,Active
138,Donald Donaldson,ndavis@example.net,2024-05-19,Germany,Organic Search,Enterprise,Active
139,Alison Buchanan,vanessabuchanan@example.org,2024-09-05,Canada,Social Media,Pro,Active
140,Kristen Willis,markhernandez@example.net,2024-01-27,United States,Organic Search,Basic,Active
141,William Huerta,lauren10@example.org,2024-01-02,United States,Referral,Basic,Churned
142,Richard Chapman,thompsonbrian@example.net,2024-01-06,Australia,Social Media,Pro,Active
143,Nichole Alvarez,william17@example.net,2024-06-12,Germany,Partner Program,Pro,Active
144,Amanda Logan,stephen00@example.com,2024-03-27,United States,Partner Program,Basic,Active
145,Michael Henry,fjones@example.com,2024-11-25,United Kingdom,Referral,Enterprise,Active
146,Cameron Weber,oscar98@example.com,2024-08-24,United States,Organic Search,Pro,Active
147,Jessica Mcguire,farrelldebra@example.net,2024-06-25,Canada,Social Media,Basic,Active
148,Jessica Beasley,dmorgan@example.com,2024-10-06,Canada,Social Media,Basic,Active
149,Emily Edwards,nicholas27@example.org,2024-06-10,Germany,Referral,Basic,Active
150,Anna Davis,lisa80@example.net,2024-02-05,United Kingdom,Organic Search,Basic,Active
151,Meagan Jenkins,uparrish@example.org,2024-08-06,Australia,Partner Program,Pro,Active
152,Heather Lane,ericolson@example.org,2024-04-21,United States,Referral,Pro,Churned
153,Holly Farmer,lindsaybruce@example.net,2024-05-15,United Kingdom,Social Media,Enterprise,Active
154,Kristin Lynch,anthony44@example.com,2024-08-26,Australia,Referral,Pro,Active
155,Sergio Knight,vjones@example.net,2024-05-16,United States,Paid Ads,Basic,Churned
156,Joseph Bennett,xpeterson@example.com,2024-01-12,United States,Social Media,Basic,Active
157,Todd Carlson,moorekaren@example.org,2024-10-07,United Kingdom,Organic Search,Pro,Active
158,Jeremy Coleman,nperry@example.net,2024-09-18,United States,Referral,Basic,Active
159,Brian Gregory,trose@example.org,2024-02-14,Germany,Social Media,Basic,Active
160,Kyle Smith,sierra24@example.com,2024-03-26,United States,Organic Search,Pro,Active
161,Jonathan Jordan,omarpadilla@example.net,2024-05-07,United States,Social Media,Pro,Active
162,Renee Jones,grahamsteve@example.org,2024-08-04,Canada,Organic Search,Basic,Active
163,Jeffrey Sullivan,zroberts@example.org,2024-11-30,United Kingdom,Social Media,Basic,Active
164,Travis Stevens,christopher13@example.com,2024-05-06,United Kingdom,Referral,Pro,Active
165,Blake Harrell,jeffrey21@example.net,2024-08-16,Australia,Organic Search,Basic,Active
166,Jordan Bullock,michael23@example.org,2024-09-02,United States,Organic Search,Pro,Churned
167,Christopher Hernandez,thompsonkendra@example.com,2024-02-26,United States,Organic Search,Pro,Active
168,Olivia Cole,michelle52@example.com,2024-06-29,Germany,Partner Program,Basic,Active
169,Mark Hogan,bellcharles@example.com,2024-01-27,Canada,Paid Ads,Basic,Active
170,Jacob Mitchell,gilbertwilliam@example.com,2024-06-24,United Kingdom,Organic Search,Basic,Active
171,Rebecca Huang,kstout@example.net,2024-08-13,Canada,Referral,Pro,Active
172,John Hernandez,hayeslisa@example.com,2024-03-14,Australia,Organic Search,Basic,Active
173,Matthew Williams,hritter@example.net,2024-10-04,Australia,Referral,Basic,Active
174,Jake Campbell,rschroeder@example.net,2024-08-24,Australia,Organic Search,Basic,Active
175,Maria Jones,grantpaul@example.com,2024-01-21,Germany,Social Media,Basic,Active
176,Tracey Morrison,mathewaguilar@example.org,2024-10-08,Germany,Paid Ads,Basic,Active
177,Walter Hale,tanderson@example.org,2024-12-22,Germany,Social Media,Pro,Active
178,Maria Murphy,elizabethcalderon@example.net,2024-04-30,United States,Social Media,Basic,Churned
179,Anna Santiago,andrew42@example.org,2024-09-23,United Kingdom,Paid Ads,Enterprise,Active
180,Katelyn Perez,ericphillips@example.org,2024-05-12,Germany,Organic Search,Enterprise,Active
181,Sandy Stephenson,stanleynancy@example.net,2024-07-16,United States,Social Media,Basic,Active
182,Brittany White,jenniferwilliams@example.com,2024-02-20,United States,Organic Search,Basic,Active
183,Tracy Bishop,pyoung@example.com,2024-09-19,Australia,Social Media,Basic,Active
184,Stephanie Lee,smurray@example.com,2024-11-10,United Kingdom,Social Media,Pro,Active
185,Tracy Montoya,moniquewilliams@example.com,2024-07-14,United States,Paid Ads,Pro,Active
186,Timothy Dawson,mitchellkathryn@example.com,2024-12-05,United States,Referral,Basic,Active
187,Brittany Kim,lisawilkerson@example.org,2024-06-23,United Kingdom,Paid Ads,Basic,Active
188,Jonathan Young,brooksanthony@example.org,2024-06-10,United Kingdom,Referral,Pro,Churned
189,Gabriela Thomas,mitchellmaria@example.net,2024-11-21,Australia,Organic Search,Pro,Active
190,Michael West,bullockandrew@example.org,2024-11-18,United Kingdom,Referral,Basic,Active
191,Todd Lynch,srodriguez@example.org,2024-11-20,Canada,Paid Ads,Pro,Active
192,David Fowler,fbrown@example.net,2024-04-26,Canada,Organic Search,Enterprise,Active
193,Jose Allen,kellysmith@example.com,2024-07-27,Germany,Referral,Basic,Active
194,Chelsea Barnett,carlos88@example.net,2024-04-03,United Kingdom,Referral,Pro,Active
195,Kristen Myers DDS,qzavala@example.net,2024-11-01,Germany,Social Media,Enterprise,Active
196,Austin Allen,ingramjill@example.com,2024-01-07,Germany,Referral,Pro,Churned
197,Joshua Li,mariacohen@example.net,2024-02-21,Australia,Organic Search,Basic,Active
198,Robin Brown,mjohnson@example.org,2024-07-04,United States,Organic Search,Pro,Active
199,Andrew Mahoney,ihays@example.com,2024-11-03,Australia,Paid Ads,Basic,Active
200,Matthew Mitchell,glennmartin@example.org,2024-04-08,United Kingdom,Organic Search,Basic,Active
201,Steve Paul,lmorgan@example.com,2024-11-06,Germany,Paid Ads,Basic,Churned
202,Tim Stone PhD,mmiller@example.org,2024-09-25,Australia,Referral,Basic,Active
203,Brian Murphy,kirk96@example.org,2024-07-30,Australia,Social Media,Pro,Active
204,Jeremy Acosta,christina64@example.net,2024-09-24,Germany,Organic Search,Basic,Churned
205,Angela Walsh,william20@example.org,2024-11-03,Australia,Organic Search,Enterprise,Active
206,Rachael Johnson,youngdeanna@example.com,2024-11-25,United States,Social Media,Basic,Active
207,Amanda Hernandez,xrush@example.com,2024-05-28,Australia,Organic Search,Enterprise,Churned
208,Chad Richardson,debra31@example.org,2024-10-23,Australia,Paid Ads,Pro,Active
209,Joseph Mcintyre,greenjorge@example.com,2024-10-12,United Kingdom,Referral,Basic,Active
210,Donna Hendricks DDS,taylorcharles@example.org,2024-03-24,Australia,Organic Search,Basic,Active
211,Yolanda Cochran,elizabeth18@example.net,2024-12-15,Germany,Referral,Pro,Churned
212,Sarah Joseph,laurahicks@example.org,2024-04-22,United Kingdom,Social Media,Pro,Active
213,Cynthia Snyder,angela57@example.net,2024-03-19,Germany,Organic Search,Basic,Active
214,Angelica Parker,xfox@example.com,2024-02-20,Germany,Referral,Pro,Churned
215,Beth Stewart,coleerin@example.com,2024-11-15,Australia,Referral,Basic,Active
216,Penny Bowman,katrinaanderson@example.net,2024-02-19,Germany,Referral,Enterprise,Churned
217,Sandra Holmes,fred53@example.com,2024-12-19,United States,Referral,Basic,Active
218,Sarah King,david49@example.net,2024-07-20,Canada,Organic Search,Basic,Churned
219,Caroline David,georgeweber@example.net,2024-02-06,Australia,Referral,Pro,Active
220,Kristy Bryan,millerstacy@example.net,2024-05-11,United States,Referral,Basic,Active
221,Pamela Butler,jimenezcourtney@example.com,2024-04-12,Germany,Organic Search,Basic,Active
222,Karen Ballard,eevans@example.net,2024-09-06,Canada,Referral,Basic,Active
223,Jason Marshall,catherine55@example.net,2024-01-24,Australia,Paid Ads,Enterprise,Active
224,James Hodges,floressteven@example.com,2024-11-30,United Kingdom,Organic Search,Pro,Active
225,Brent Roberts,alin@example.org,2024-06-23,United Kingdom,Paid Ads,Pro,Active
226,Robin Peck,james27@example.net,2024-12-02,United Kingdom,Social Media,Pro,Active
227,Mr. Alexander Landry MD,jasongomez@example.org,2024-06-30,Germany,Organic Search,Basic,Active
228,Stephen Pena MD,booneryan@example.com,2024-04-19,United Kingdom,Partner Program,Pro,Active
229,Jamie Williams,hudsonjames@example.net,2024-10-09,Canada,Social Media,Pro,Active
230,Jonathan Duran,marcia99@example.org,2024-04-22,United States,Social Media,Enterprise,Active
231,Jennifer Norton,angela52@example.org,2024-02-19,Canada,Organic Search,Basic,Active
232,Kathryn Williams,jenniferbrock@example.net,2024-08-21,Germany,Referral,Pro,Active
233,Steven Taylor,francisco94@example.net,2024-06-26,United States,Organic Search,Pro,Active
234,Katrina Burns,thomas05@example.com,2024-05-10,United States,Referral,Basic,Active
235,Jason Parker,carlsonjoseph@example.net,2024-09-18,United Kingdom,Referral,Pro,Churned
236,Laura Perez,silvageorge@example.net,2024-10-31,Australia,Paid Ads,Pro,Active
237,Sarah Hernandez,anthonyvaughan@example.org,2024-10-07,Australia,Paid Ads,Enterprise,Active
238,Erik Hernandez,roberthampton@example.com,2024-03-15,Australia,Social Media,Basic,Active
239,Monica Thornton,annbolton@example.com,2024-12-04,Australia,Paid Ads,Basic,Active
240,Tyler Stevens,amy49@example.com,2024-07-23,United Kingdom,Referral,Enterprise,Active
241,Diana Evans,kellie37@example.com,2024-03-15,Australia,Organic Search,Basic,Active
242,Timothy Pope,keith98@example.com,2024-07-05,Canada,Paid Ads,Pro,Active
243,Sabrina Blevins,kellyroberts@example.net,2024-12-13,United Kingdom,Social Media,Basic,Active
244,Jeremy Scott,ilewis@example.com,2024-01-31,United States,Social Media,Pro,Active
245,Denise Rodriguez,johnsantiago@example.net,2024-12-28,United States,Social Media,Enterprise,Active
246,Amy Gutierrez,xgarcia@example.org,2024-03-28,United Kingdom,Social Media,Basic,Active
247,Vanessa Moore,mwoods@example.com,2024-01-03,United States,Organic Search,Basic,Active
248,Anthony Mack,amandasharp@example.org,2024-05-04,United States,Organic Search,Pro,Churned
249,Jennifer Monroe,osbornrandy@example.com,2024-12-20,United Kingdom,Referral,Enterprise,Active
250,Tonya Howe,smithashley@example.org,2024-03-13,United Kingdom,Paid Ads,Enterprise,Churned
251,Mrs. Virginia Daniels,ismall@example.net,2024-12-26,United Kingdom,Social Media,Basic,Active
252,Robert Rivera,twong@example.org,2024-06-30,Canada,Organic Search,Enterprise,Churned
253,Rachel Bradley,gregorychase@example.com,2024-01-06,Australia,Partner Program,Pro,Active
254,Garrett Morales,lopezdonald@example.com,2024-11-17,Australia,Organic Search,Basic,Active
255,Dean Young,stephanie49@example.net,2024-12-29,United Kingdom,Referral,Pro,Churned
256,Matthew Schwartz,contrerassteven@example.org,2024-08-10,Canada,Social Media,Basic,Active
257,Tammy Barron,hannah45@example.net,2024-06-06,Germany,Organic Search,Pro,Active
258,Casey Hernandez,robert87@example.net,2024-03-26,Australia,Paid Ads,Basic,Active
259,Colleen Wright,foxallison@example.com,2024-11-07,United States,Organic Search,Basic,Churned
260,Ashley Poole,ashleyhernandez@example.com,2024-01-31,Canada,Organic Search,Pro,Active
261,Audrey Harris,gdavis@example.com,2024-11-27,Australia,Referral,Enterprise,Active
262,Carlos Perry,hansenemily@example.com,2024-11-10,Germany,Referral,Pro,Active
263,David Smith,bethwilliams@example.com,2024-10-07,Australia,Social Media,Pro,Active
264,Zachary Michael,andersenthomas@example.com,2024-09-29,United Kingdom,Organic Search,Basic,Active
265,Chad May,ybrooks@example.com,2024-06-07,United States,Paid Ads,Basic,Active
266,Jamie Miller,desireebailey@example.org,2024-12-03,Germany,Paid Ads,Pro,Active
267,Cameron Irwin,avilatiffany@example.com,2024-07-27,United Kingdom,Organic Search,Basic,Active
268,Jessica Gray,johnreed@example.com,2024-09-18,Australia,Organic Search,Basic,Active
269,Molly Rodriguez,bmendez@example.org,2024-03-14,Canada,Organic Search,Basic,Churned
270,Kirk Griffin,sanchezbradley@example.com,2024-03-21,Germany,Organic Search,Pro,Active
271,Nicole Parsons,williamroberts@example.net,2024-04-01,Germany,Organic Search,Pro,Active
272,Kyle Chambers,joel28@example.org,2024-08-11,United States,Social Media,Basic,Active
273,Antonio Fry,conniesimmons@example.com,2024-06-09,United States,Partner Program,Basic,Active
274,Teresa Powers,heather62@example.com,2024-01-19,Canada,Social Media,Basic,Active
275,Joshua Allen,kevinzimmerman@example.com,2024-05-26,United States,Referral,Basic,Active
276,Jason Butler,paulscott@example.com,2024-12-21,United States,Social Media,Basic,Active
277,Jerry Watson,brettbennett@example.net,2024-09-08,Australia,Referral,Basic,Active
278,Benjamin Ballard,timothybooth@example.com,2024-08-22,Australia,Referral,Enterprise,Active
279,Alexis Giles,burgesskaren@example.org,2024-04-27,Germany,Organic Search,Pro,Active
280,Christine Herman,kimberly67@example.net,2024-09-27,Australia,Paid Ads,Basic,Active
281,Dennis Hunt,zowens@example.net,2024-09-08,Australia,Organic Search,Basic,Active
282,Erica Harris,robert93@example.net,2024-07-01,Canada,Organic Search,Pro,Active
283,Juan Silva,mphillips@example.com,2024-02-26,United Kingdom,Referral,Basic,Active
284,Roy Porter,jonathan77@example.com,2024-03-30,Germany,Social Media,Basic,Active
285,Heather Taylor,iwhite@example.net,2024-03-06,Germany,Social Media,Basic,Active
286,Sara Jones,duranrobert@example.net,2024-01-23,United States,Referral,Pro,Active
287,Chris Robinson,nbrooks@example.net,2024-03-30,Canada,Organic Search,Basic,Active
288,Susan Hopkins,smithandrea@example.org,2024-09-15,United States,Social Media,Basic,Active
289,Denise Madden,shawheidi@example.com,2024-01-07,Canada,Organic Search,Basic,Active
290,Cassie Hull,johnharvey@example.com,2024-11-09,United States,Referral,Basic,Active
291,Robert Miller,pstevens@example.net,2024-11-12,United Kingdom,Social Media,Basic,Churned
292,Ronald Miller,davisnicholas@example.net,2024-03-28,Australia,Paid Ads,Pro,Churned
293,Adam Jackson,pbruce@example.com,2024-07-03,Germany,Organic Search,Basic,Active
294,Valerie Jacobson,hallrachel@example.net,2024-08-07,United States,Social Media,Basic,Active
295,Denise Glass,rachel90@example.org,2024-12-10,Germany,Referral,Pro,Active
296,Alexis Clark,karenmarquez@example.com,2024-12-26,Australia,Paid Ads,Enterprise,Active
297,Christopher Allen,irhodes@example.com,2024-12-26,Germany,Social Media,Basic,Active
298,Brenda Hinton,masonterri@example.org,2024-05-29,United Kingdom,Organic Search,Basic,Active
299,Ryan Peterson,unovak@example.org,2024-02-07,United Kingdom,Referral,Basic,Active
300,Willie Henry,angela66@example.org,2024-09-03,Australia,Organic Search,Pro,Churned
301,Jamie Barton,lauren11@example.com,2024-09-20,Canada,Social Media,Basic,Active
302,Richard Moore,gstewart@example.org,2024-02-29,United Kingdom,Organic Search,Basic,Active
303,Jill Juarez,andersonjacob@example.com,2024-01-03,Germany,Referral,Pro,Active
304,Jennifer Johnson,angela99@example.com,2024-08-04,Germany,Organic Search,Basic,Active
305,Edgar Hughes,hardyanita@example.org,2024-12-01,Australia,Referral,Basic,Active
306,Melissa Jackson,kevin72@example.org,2024-08-10,Germany,Organic Search,Basic,Active
307,Jason Washington,wardsheryl@example.net,2024-03-05,Germany,Referral,Pro,Active
308,Luis Ellis Jr.,rushmartin@example.net,2024-08-30,Australia,Partner Program,Basic,Active
309,Erin Cook,kevinmorrison@example.net,2024-05-27,United States,Social Media,Pro,Active
310,Christopher Sanders,kelly79@example.org,2024-03-19,Canada,Organic Search,Pro,Active
311,Robert Long,frederickjames@example.net,2024-05-06,Australia,Referral,Basic,Active
312,Krista Benton,nhahn@example.com,2024-03-10,United Kingdom,Organic Search,Pro,Active
313,Michael Fuentes,ichambers@example.net,2024-11-05,Canada,Referral,Basic,Active
314,Matthew Espinoza,mjones@example.com,2024-04-27,Australia,Referral,Pro,Active
315,Jonathon Knapp,ystephens@example.com,2024-08-14,Canada,Referral,Enterprise,Active
